town,pop
"Clyde, KS",684
"Clyde, MO",78
"Clyde, NC",1263
"Clyde, NY",1987
"Clyde, OH",6221
"Clyde, TX",3842
"Clymer, NY",1
"Clymer, PA",1293
"Clyo, GA",1
"Coachella, CA",44953
"Coahoma, MS",343
"Coahoma, TX",876
"Coal Center, PA",137
"Coal City, IL",5434
"Coal City, IN",1
"Coal Hill, AR",1019
"Coal Mountain, WV",1
"Coal Valley, IL",3721
"Coalburg, AL",1
"Coaldale, PA",2187
"Coalgate, OK",1865
"Coalgood, KY",1
"Coalinga, CA",16598
"Coalmont, CO",1
"Coalmont, TN",819
"Coalport, PA",502
"Coalton, WV",1
"Coalville, UT",1457
"Coarsegold, CA",1
"Coast Guard Isla, CA",1
"Coatesville, IN",546
"Coatesville, PA",13064
"Coatopa, AL",1
"Coats, KS",83
"Coats, NC",2432
"Coatsburg, IL",145
"Coatsville, MO",1
"Cobb, GA",1
"Cobb, WI",461
"Cobbtown, GA",348
"Cobden, IL",1124
"Cobham, VA",1
"Cobhill, KY",1
"Cobleskill, NY",4559
"Coburg, OR",1066
"Coburn, PA",1
"Coburn, WV",1
"Cochecton Center, NY",1
"Cochise, AZ",1
"Cochiti Pueblo, NM",1
"Cochran, GA",5036
"Cochranton, PA",1106
"Cochranville, PA",1
"Cockeysville Hun, MD",2
"Cockrell Hill, TX",4280
"Cocoa, FL",18102
"Cocoa Beach, FL",11761
"Cocolalla, ID",1
"Cocolamus, PA",1
"Codell, KS",1
"Coden, AL",1
"Cody, NE",157
"Cody, WY",9836
"Coeburn, VA",1986
"Coeur D Alene, ID",1
"Coeur d'Alene, ID",50285
"Coeymans Hollow, NY",1
"Coffee Creek, MT",1
"Coffee Springs, AL",227
"Coffeen, IL",657
"Coffeeville, AL",334
"Coffeeville, MS",871
"Coffey, MO",162
"Coffeyville, KS",9539
"Cofield, NC",390
"Cogan Station, PA",1
"Cogdell, GA",1
"Coggon, IA",667
"Cohagen, MT",1
"Cohasset, CA",1
"Cohasset, MA",1
"Cohasset, MN",2728
"Cohocton, NY",810
"Cohoes, NY",16883
"Cohutta, GA",635
"Coila, MS",1
"Coin, IA",183
"Coinjock, NC",1
"Cokato, MN",2731
"Cokeburg, PA",614
"Coker, AL",985
"Cokeville, WY",547
"Colbert, GA",609
"Colbert, OK",1198
"Colbert, WA",1
"Colby, KS",5419
"Colby, WI",1831
"Colchester, CT",1
"Colchester, IL",1324
"Colchester, VT",1
"Colcord, OK",815
"Colcord, WV",1
"Cold Brook, NY",320
"Cold Spring, MN",4108
"Cold Spring, NY",1948
"Cold Spring Harb, NY",1
"Cold Springs, CA",1
"Colden, NY",1
"Coldfoot, AK",1
"Coldiron, KY",1
"Coldspring, TX",907
"Coldwater, KS",814
"Coldwater, MI",10776
"Coldwater, MS",1585
"Coldwater, OH",4505
"Cole, CA",1
"Cole Camp, MO",1114
"Colebrook, CT",1
"Colebrook, NH",1
"Coleharbor, ND",85
"Coleman, GA",1
"Coleman, MI",1198
"Coleman, OK",1
"Coleman, TX",4431
"Coleman, WI",702
"Coleman Falls, VA",1
"Colerain, NC",187
"Coleridge, NC",1
"Coleridge, NE",462
"Colesburg, IA",396
"Colesville, MD",2
"Coleville, CA",1
"Colfax, IA",2042
"Colfax, IL",1036
"Colfax, IN",679
"Colfax, LA",1518
"Colfax, NC",1
"Colfax, ND",145
"Colfax, WA",2895
"Colfax, WI",1161
"Colgan, ND",1
"Colgate, ND",1
"Colgate, WI",1
"Collbran, CO",695
"College City, AR",506
"College Corner, OH",411
"College Grove, TN",1
"College Heights, CA",1
"College Hill, OH",1
"College Miserico, PA",1
"College Park, GA",15035
"College Park, MD",32275
"College Parkway, FL",1
"College Place, WA",9142
"College Plaza, FL",1
"College Point, NY",1
"College Springs, IA",207
"College Station, TX",112141
"Collegeville, IN",1
"Collegeville, PA",5254
"Collettsville, NC",1
"Colleyville, TX",26152
"Colliers, WV",1
"Collierville, TN",49177
"Collingdale, PA",8765
"Collingswood, NJ",14010
"Collins, GA",577
"Collins, IA",477
"Collins, MO",153
"Collins, MS",2569
"Collins, NY",1
"Collins, OH",1
"Collinston, LA",264
"Collinston, UT",1
"Collinsville, AL",1963
"Collinsville, CT",1
"Collinsville, IL",24635
"Collinsville, MS",1
"Collinsville, OK",6650
"Collinsville, TX",1730
"Collinsville, VA",1
"Collinwood, TN",965
"Collison, IL",1
"Collyer, KS",105
"Colma, CA",1510
"Colman, SD",579
"Colmar, IL",1
"Colmar, PA",1
"Colo, IA",852
"Cologne, MN",1598
"Cologne, VA",1
"Coloma, MI",1446
"Coloma, WI",438
"Colome, SD",286
"Colon, MI",1153
"Colon, NC",1
"Colon, NE",108
"Colonia, NJ",1
"Colonial Heights, TN",1
"Colonial Heights, VA",17772
"Colonial Park, PA",1
"Colony, KS",404
"Colony, OK",135
"Colora, MD",1
"Colorado City, AZ",4818
"Colorado City, TX",4001
"Colorado Springs, CO",465101
"Colquitt, GA",1910
"Colrain, MA",1
"Colt, AR",345
"Colter Bay, WY",1
"Colton, NY",1
"Colton, OR",1
"Colton, SD",684
"Colton, WA",466
"Coltons Point, MD",1
"Colts Neck, NJ",1
"Columbia, AL",729
"Columbia, CA",1
"Columbia, CT",1
"Columbia, IA",1
"Columbia, IL",10273
"Columbia, MD",3
"Columbia, MO",120612
"Columbia, MS",6143
"Columbia, NC",801
"Columbia, NJ",1
"Columbia, PA",10359
"Columbia, SC",134309
"Columbia, SD",137
"Columbia, TN",37540
"Columbia, VA",80
"Columbia City, IN",8861
"Columbia City, OR",1996
"Columbia Cross R, PA",1
"Columbia Falls, ME",1
"Columbia Falls, MT",5241
"Columbia Heights, MN",19723
"Columbia Station, OH",1
"Columbiana, AL",4539
"Columbiana, OH",6257
"Columbiaville, MI",780
"Columbus, AR",1
"Columbus, GA",197485
"Columbus, IN",46850
"Columbus, KY",160
"Columbus, MS",24561
"Columbus, MT",2028
"Columbus, NC",981
"Columbus, NE",22851
"Columbus, NJ",1
"Columbus, OH",860090
"Columbus, PA",1
"Columbus, TX",3625
"Columbus, WI",5030
"Columbus Grove, OH",2086
"Columbus Junctio, IA",1
"Colusa, CA",5937
"Colver, PA",1
"Colville, WA",4788
"Colwich, KS",1398
"Comanche, OK",1604
"Comanche, TX",4206
"Combined Locks, WI",3577
"Combs, AR",1
"Combs, KY",1
"Comer, GA",1159
"Comer, IL",1
"Comfort, TX",1
"Comfort, WV",1
"Comfrey, MN",373
"Comins, MI",1
"Commack, NY",1
"Commerce, GA",6788
"Commerce, OK",2460
"Commerce, TX",9091
"Commerce City, CO",54869
"Commerce Townshi, MI",1
"Commiskey, IN",1
"Commodore, PA",1
"Community, VA",1
"Como, MS",1240
"Como, NC",88
"Como, TX",709
"Comptche, CA",1
"Compton, AR",1
"Compton, IL",285
"Comstock, MN",93
"Comstock, NE",92
"Comstock, NY",1
"Comstock, TX",1
"Comstock, WI",1
"Comstock Park, MI",1
"Conaway, VA",1
"Concan, TX",1
"Concepcion, TX",1
"Conception, MO",1
"Conception Junct, MO",1
"Conchas Dam, NM",1
"Concho, AZ",1
"Concord, AR",237
"Concord, CA",128726
"Concord, GA",379
"Concord, IL",163
"Concord, MA",1
"Concord, MI",1046
"Concord, NC",89891
"Concord, NE",159
"Concord, NH",42904
"Concord, PA",1
"Concord, TN",1
"Concord, TX",1
"Concord, VA",1
"Concord, VT",1
"Concord Farragut, TN",1
"Concordia, MO",2385
"Concrete, ND",1
"Concrete, WA",724
"Conda, ID",1
"Condon, MT",1
"Condon, OR",678
"Cone, TX",1
"Conehatta, MS",1
"Conestoga, PA",1
"Conesus, NY",1
"Conesville, IA",415
"Conesville, OH",336
"Conewango Valley, NY",1
"Confluence, KY",1
"Conger, MN",141
"Congers, NY",1
"Congerville, IL",499
"Congress, AZ",1
"Conicville, VA",1
"Conifer, CO",1
"Conklin, MI",1
"Conklin, NY",1
"Conley, GA",1
"Conneaut, OH",12708
"Conneaut Lake, PA",633
"Conneautville, PA",753
"Connell, WA",5414
"Connellys Spring, NC",1
"Conner, MT",1
"Connersville, IN",12949
"Conover, NC",8331
"Conover, OH",1
"Conover, WI",1
"Conowingo, MD",1
"Conrad, IA",1086
"Conrad, MT",2550
"Conrath, WI",92
"Conroe, TX",82286
"Conroy, IA",1
"Constable, NY",1
"Constableville, NY",239
"Constantia, NY",1
"Constantine, KY",1
"Constantine, MI",2047
"Continental, OH",1121
"Continental Divi, NM",1
"Convent, LA",1
"Converse, IN",1229
"Converse, TX",22702
"Convoy, OH",1064
"Conway, AR",65300
"Conway, KS",1
"Conway, KY",1
"Conway, MA",1
"Conway, MO",778
"Conway, NC",756
"Conway, NH",1
"Conway, PA",2129
"Conway, SC",22761
"Conway Springs, KS",1224
"Conyers, GA",15919
"Cook, MN",568
"Cook, NE",316
"Cook, WA",1
"Cook Falls, NY",1
"Cook Station, MO",1
"Cooks, MI",1
"Cooksburg, PA",1
"Cookson, OK",1
"Cookstown, NJ",1
"Cooksville, IL",183
"Cooksville, MD",1
"Cookville, TX",1
"Cool, CA",1
"Cool Ridge, WV",1
"Coolidge, AZ",12528
"Coolidge, GA",528
"Coolidge, TX",956
"Coolin, ID",1
"Coolspring, PA",1
"Coolville, OH",492
"Coon Rapids, IA",1261
"Coon Rapids, MN",62359
"Coon Valley, WI",788
"Cooper, IA",1
"Cooper, TX",1957
"Cooper Landing, AK",1
"Coopers Mills, ME",1
"Coopersburg, PA",2478
"Cooperstown, ND",928
"Cooperstown, NY",1770
"Cooperstown, PA",432
"Coopersville, KY",1
"Coopersville, MI",4321
"Coosa Pines, AL",1
"Coosawatchie, SC",1
"Copake, NY",1
"Copake Falls, NY",1
"Copalis Beach, WA",1
"Copalis Crossing, WA",1
"Copan, OK",741
"Cope, CO",1
"Cope, SC",74
"Copeland, KS",300
"Copemish, MI",191
"Copen, WV",1
"Copenhagen, NY",796
"Copiague, NY",1
"Coplay, PA",3232
"Copley, OH",1
"Coppell, TX",41360
"Copper Center, AK",1
"Copper Hill, VA",1
"Copperopolis, CA",1
"Coquille, OR",3905
"Cora, WY",1
"Coral, MI",1
"Coral Gables, FL",50815
"Coral Springs, FL",130059
"Coralville, IA",20397
"Coram, NY",1
"Corapeake, NC",1
"Corbett, OR",1
"Corbin, KS",1
"Corbin, KY",7398
"Corbin City, NJ",499
"Corcoran, CA",22626
"Cord, AR",1
"Cordele, GA",10856
"Cordell, OK",1
"Corder, MO",399
"Cordesville, SC",1
"Cordova, AL",2014
"Cordova, IL",651
"Cordova, MD",1
"Cordova, NE",137
"Cordova, SC",163
"Cordova, TN",1
"Core, WV",1
"Corea, ME",1
"Corfu, NY",714
"Corinna, ME",1
"Corinne, UT",703
"Corinth, KY",233
"Corinth, NY",2481
"Corinth, VT",1
"Corinth, WV",1
"Corley, WV",1
"Corliss, PA",1
"Corn, OK",499
"Cornelia, GA",4267
"Cornelius, NC",28515
"Cornelius, OR",12414
"Cornell, MI",1
"Cornell, WI",1426
"Cornersville, TN",1243
"Corning, AR",3118
"Corning, CA",7535
"Corning, IA",1486
"Corning, KS",157
"Corning, MO",14
"Corning, NY",10812
"Cornish, ME",1
"Cornish, NH",1
"Cornish, UT",315
"Cornishville, KY",1
"Cornucopia, WI",1
"Cornville, AZ",1
"Cornwall, NY",1
"Cornwall On Huds, NY",1
"Cornwallville, NY",1
"Corolla, NC",1
"Corona, CA",166785
"Corona, NM",162
"Corona, NY",1
"Corona, SD",109
"Corona Del Mar, CA",1
"Coronado, CA",25952
"Corpus Christi, TX",325733
"Corral, ID",1
"Corrales, NM",8586
"Correctionville, IA",805
"Correll, MN",32
"Corry, PA",6360
"Corryton, TN",1
"Corsica, PA",349
"Corsica, SD",584
"Corsicana, TX",23987
"Corson, SD",1
"Corte Madera, CA",9858
"Cortez, CO",9007
"Cortez, FL",1
"Cortland, IN",1
"Cortland, NE",472
"Cortland, NY",18795
"Cortland, OH",6880
"Cortlandt Manor, NY",1
"Corunna, IN",255
"Corunna, MI",3401
"Corvallis, MT",1
"Corvallis, OR",57110
"Corwith, IA",265
"Cory, IN",1
"Corydon, IN",3163
"Corydon, KY",702
"Cos Cob, CT",1
"Cosby, MO",125
"Cosby, TN",1
"Coshocton, OH",11189
"Cosmopolis, WA",1601
"Cosmos, MN",455
"Cossayuna, NY",1
"Cost, TX",1
"Costa, WV",1
"Costa Mesa, CA",112822
"Costigan, ME",1
"Costilla, NM",1
"Cotati, CA",7455
"Coteau, ND",1
"Cotesfield, NE",45
"Coto De Caza, CA",1
"Cottage Grove, MN",36029
"Cottage Grove, OR",10109
"Cottage Grove, TN",88
"Cottage Grove, WI",6996
"Cottage Hills, IL",1
"Cottageville, SC",747
"Cottageville, WV",1
"Cottekill, NY",1
"Cotter, AR",948
"Cottle, KY",1
"Cotton Plant, AR",595
"Cotton Valley, LA",965
"Cottondale, AL",1
"Cottondale, FL",896
"Cottonport, LA",1954
"Cottontown, TN",1
"Cottonwood, AL",1255
"Cottonwood, AZ",11990
"Cottonwood, CA",1
"Cottonwood, ID",917
"Cottonwood, MN",1230
"Cottonwood, SD",10
"Cottonwood, UT",1
"Cottonwood Cove, NV",1
"Cottonwood Falls, KS",869
"Cottrellville, MI",1
"Cotuit, MA",1
"Cotulla, TX",4209
"Couch, MO",1
"Cougar, WA",1
"Coulee, ND",1
"Coulee City, WA",569
"Coulee Dam, WA",1090
"Coulterville, CA",1
"Counce, TN",1
"Council, ID",818
"Council, NC",1
"Council, VA",1
"Council Bluffs, IA",62524
"Council Hill, OK",150
"Counselor, NM",1
"Country Club Hil, IL",1
"Countryside, KS",1
"Coupeville, WA",1920
"Coupland, TX",302
"Courtenay, ND",44
"Courtland, AL",599
"Courtland, CA",1
"Courtland, KS",269
"Courtland, MN",670
"Courtland, MS",508
"Courtland, VA",1247
"Cove, AR",372
"Cove, OR",625
"Cove City, NC",393
"Cove Gap, WV",1
"Covelo, CA",1
"Coventry, CT",1
"Coventry, RI",1
"Coventry, VT",1
"Covert, MI",1
"Covesville, VA",1
"Covina, CA",48549
"Covington, IN",2551
"Covington, KY",40797
"Covington, LA",10310
"Covington, MI",1
"Covington, OH",2629
"Covington, OK",544
"Covington, PA",1
"Covington, TN",8924
"Covington, TX",271
"Cowan, TN",1683
"Cowan Heights, CA",1
"Cowansville, PA",1
"Coward, SC",759
"Cowden, IL",578
"Cowen, WV",498
"Coweta, OK",9673
"Cowgill, MO",181
"Cowiche, WA",1
"Cowlesville, NY",1
"Cowpens, SC",2302
"Coxs Mills, WV",1
"Coxsackie, NY",2686
"Coy, AL",1
"Coyanosa, TX",1
"Coyle, OK",361
"Coyote, CA",1
"Coyville, KS",43
"Cozad, NE",3805
"Crab Orchard, KY",831
"Crab Orchard, NE",37
"Crab Orchard, TN",761
"Crab Orchard, WV",1
"Crafton, PA",5820
"Craftsbury, VT",1
"Craftsbury Commo, VT",1
"Cragford, AL",1
"Craig, AK",1231
"Craig, CO",8952
"Craig, NE",190
"Craigmont, ID",499
"Craigsville, PA",1
"Craigsville, VA",935
"Craigsville, WV",1
"Craigville, IN",1
"Cramerton, NC",4420
"Cranberry, PA",1
"Cranbury, NJ",1
"Crandall, GA",1
"Crandall, IN",152
"Crandall, TX",3329
"Crandon, WI",1860
"Crane, MO",1351
"Crane, OR",1
"Crane, TX",3723
"Crane Hill, AL",1
"Crane Lake, MN",1
"Crane Naval Depo, IN",1
"Cranesville, PA",608
"Cranfills Gap, TX",279
"Cranford, NJ",1
"Cranks, KY",1
"Cranston, RI",81034
"Crapo, MD",1
"Craryville, NY",1
"Crawford, CO",413
"Crawford, GA",828
"Crawford, MS",650
"Crawford, NE",961
"Crawford, OK",1
"Crawford, TN",1
"Crawford, TX",741
"Crawford, WV",1
"Crawfordsville, AR",454
"Crawfordsville, IA",270
"Crawfordsville, IN",16001
"Crawfordville, FL",1
"Crawfordville, GA",495
"Crawley, WV",1
"Craynor, KY",1
"Crazy Horse, SD",1
"Creal Springs, IL",532
"Creamridge, NJ",1
"Creede, CO",1
"Creedmoor, NC",4498
"Creedmoor, TX",219
"Creekside, PA",298
"Creighton, MO",346
"Creighton, NE",1117
"Creighton, PA",1
"Creighton, SD",1
"Creola, AL",1961
"Creola, OH",1
"Creole, LA",1
"Cresaptown, MD",1
"Cresbard, SD",103
"Crescent, GA",1
"Crescent, IA",617
"Crescent, MO",1
"Crescent, OK",1542
"Crescent, OR",1
"Crescent Beach, FL",1
"Crescent City, CA",6670
"Crescent City, FL",1548
"Crescent City, IL",592
"Crescent Mills, CA",1
"Cresco, IA",3808
"Cresco, PA",1
"Cresskill, NJ",8777
"Cresson, PA",1613
"Cresson, TX",786
"Cressona, PA",1631
"Crested Butte, CO",1604
"Crestline, KS",1
"Crestline, OH",4439
"Crestline Height, AL",1
"Creston, CA",1
"Creston, NC",1
"Creston, NE",203
"Creston, OH",2184
"Creston, WA",218
"Creston, WV",1
"Crestview, FL",23567
"Crestwood, IL",10891
"Crestwood, KY",4910
"Creswell, NC",257
"Creswell, OR",5292
"Crete, IL",8171
"Crete, ND",1
"Crete, NE",7059
"Creve Coeur, MO",18612
"Crewe, VA",2216
"Criders, VA",1
"Cridersville, OH",1818
"Crimora, VA",1
"Cripple Creek, VA",1
"Crisfield, MD",2630
"Crisp, NC",1
"Crittenden, KY",3876
"Critz, VA",1
"Crocker, MO",1053
"Crockett, CA",1
"Crockett, VA",1
"Crocketts Bluff, AR",1
"Crofton, KY",731
"Crofton, MD",1
"Crofton, NE",689
"Croghan, NY",607
"Cromberg, CA",1
"Cromwell, CT",1
"Cromwell, IN",504
"Cromwell, KY",1
"Cromwell, MN",230
"Crook, CO",109
"Crooked Creek, AK",1
"Crooked River Ra, OR",1
"Crooks, SD",1327
"Crookston, MN",7804
"Crookston, NE",71
"Crooksville, OH",2497
"Cropper, KY",1
"Cropsey, IL",1
"Cropseyville, NY",1
"Cropwell, AL",1
"Crosby, MN",2337
"Crosby, MS",294
"Crosby, ND",1406
"Crosby, PA",1
"Crosbyton, TX",1695
"Cross, SC",1
"Cross Fork, PA",1
"Cross Hill, SC",491
"Cross Lanes, WV",1
"Cross Plains, IN",1
"Cross Plains, TN",1731
"Cross Plains, TX",986
"Cross Plains, WI",4148
"Cross River, NY",1
"Cross Timbers, MO",212
"Crosslake, MN",1
"Crossroads, NM",1
"Crossville, AL",1841
"Crossville, IL",720
"Crosswicks, NJ",1
"Croswell, MI",2301
"Crothersville, IN",1585
"Croton, OH",1
"Croton On Hudson, NY",1
"Crouse, NC",1
"Crow Agency, MT",1
"Crowell, TX",840
"Crowheart, WY",1
"Crowley, LA",13060
"Crowley, TX",14969
"Crowley Lake, CA",1
"Crown, KY",1
"Crown City, OH",405
"Crown King, AZ",1
"Crown Point, IN",29176
"Crown Point, NY",1
"Crownpoint, NM",1
"Crownsville, MD",1
"Crows Landing, CA",1
"Croydon, PA",1
"Croydon, UT",1
"Crozier, VA",1
"Cruger, MS",354
"Crum, WV",1
"Crum Lynne, PA",1
"Crummies, KY",1
"Crump, TN",1395
"Crumpler, NC",1
"Crumpton, MD",1
"Crumrod, AR",1
"Crutchfield, KY",1
"Crystal, MI",1
"Crystal, MN",23028
"Crystal, ND",131
"Crystal Beach, TX",1
"Crystal City, MO",4823
"Crystal City, TX",7359
"Crystal Falls, MI",1392
"Crystal Hill, VA",1
"Crystal Lake, IA",242
"Crystal Lake, IL",40339
"Crystal Spring, PA",1
"Crystal Springs, MS",4889
"Crystalaire, CA",1
"Cub Run, KY",1
"Cuba, AL",317
"Cuba, IL",1213
"Cuba, KS",146
"Cuba, MO",3340
"Cuba, NM",740
"Cuba, NY",1460
"Cuba City, WI",2055
"Cubero, NM",1
"Cuchara, CO",1
"Cuchillo, NM",1
"Cudahy, WI",18200
"Cuddebackville, NY",1
"Cuddy, PA",1
"Cuero, TX",8524
"Cuervo, NM",1
"Culbertson, MT",804
"Culbertson, NE",578
"Culdesac, ID",376
"Cullen, VA",1
"Culleoka, TN",1
"Cullman, AL",15496
"Culloden, GA",179
"Culloden, WV",1
"Cullom, IL",524
"Cullowhee, NC",1
"Culp Creek, OR",1
"Culver, KS",118
"Culver, MN",1
"Culver, OR",1474
"Culver City, CA",39364
"Culver Military, IN",1
"Cumberland, IA",251
"Cumberland, IN",5599
"Cumberland, KY",2059
"Cumberland, OH",356
"Cumberland, RI",1
"Cumberland, VA",1
"Cumberland, WI",2135
"Cumberland Cente, ME",1
"Cumberland City, TN",300
"Cumberland Fores, ME",1
"Cumberland Furna, TN",1
"Cumberland Gap, TN",494
"Cumby, TX",793
"Cumming, GA",6225
"Cumming, IA",408
"Cummings, KS",1
"Cummings, ND",1
"Cummington, MA",1
"Cunard, WV",1
"Cundiff, KY",1
"Cundiyo, NM",1
"Cunningham, KY",1
"Cunningham, TN",1
"Cunningham, WA",1
"Curlew, IA",56
"Curlew, WA",1
"Curran, MI",1
"Currie, MN",226
"Currie, NC",1
"Currituck, NC",1
"Curryville, MO",227
"Curtice, OH",1
"Curtis, MI",1
"Curtis, NE",896
"Curtis, WA",1
"Curtiss, WI",216
"Curwensville, PA",2456
"Cushing, IA",223
"Cushing, ME",1
"Cushing, MN",1
"Cushing, OK",7796
"Cushing, TX",613
"Cushing, WI",1
"Cushing Island, ME",1
"Cushman, AR",453
"Cushman, MA",1
"Cusick, WA",208
"Cusseta, AL",123
"Cusseta, GA",10922
"Custar, OH",185
"Custer, KY",1
"Custer, MI",286
"Custer, MT",1
"Custer, WA",1
"Custer, WI",1
"Custer City, OK",392
"Custer Park, IL",1
"Custer Terrace, GA",1
"Cut And Shoot, TX",1290
"Cut Bank, MT",3012
"Cut Off, LA",1
"Cutchogue, NY",1
"Cuthbert, GA",3664
"Cutler, CA",1
"Cutler, IL",418
"Cutler, IN",1
"Cutler, ME",1
"Cutler, OH",1
"Cutler, WI",1
"Cutshin, KY",1
"Cuttingsville, VT",1
"Cuttyhunk, MA",1
"Cuyahoga Falls, OH",49206
"Cuyama, CA",1
"Cuyler, NY",1
"Cyclone, WV",1
"Cygnet, OH",617
"Cylinder, IA",85
"Cynthiana, IN",538
"Cynthiana, KY",6383
"Cypress, AL",1
"Cypress, CA",48906
"Cypress, IL",238
"Cypress, TX",2
"Cypress Gardens, FL",1
"Cypress Inn, TN",1
"Cypress Mill, TX",1
"Cyril, OK",1054
"Cyrus, MN",283
"D Hanis, TX",1
"Dabneys, VA",1
"Dacoma, OK",112
"Dacono, CO",5090
"Dacula, GA",5632
"Dadeville, AL",3128
"Dadeville, MO",229
"Dafter, MI",1
"Daggett, CA",1
"Daggett, MI",251
"Dagmar, MT",1
"Dagsboro, DE",878
"Dahinda, IL",1
"Dahlen, ND",1
"Dahlgren, IL",497
"Dahlgren, VA",1
"Dahlonega, GA",6437
"Daingerfield, TX",2460
"Dairy, OR",1
"Dairyland, WI",1
"Daisy, KY",1
"Daisy, MO",1
"Daisy, OK",1
"Daisytown, PA",312
"Dakota, IL",475
"Dakota, MN",319
"Dakota City, NE",1880
"Dakota Dunes, SD",1
"Dalbo, MN",1
"Dale, IL",1
"Dale, IN",1532
"Dale, NY",1
"Dale, TX",1
"Dale City, VA",1
"Daleville, AL",5101
"Daleville, IN",1598
"Daleville, MS",1
"Daleville, VA",1
"Dalhart, TX",8307
"Dallas, GA",13108
"Dallas, IA",1
"Dallas, NC",4734
"Dallas, OR",15923
"Dallas, SD",122
"Dallas, TX",1317929
"Dallas, WI",394
"Dallas, WV",1
"Dallas Center, IA",1746
"Dalmatia, PA",1
"Dalton, GA",34077
"Dalton, MA",1
"Dalton, MN",255
"Dalton, MO",16
"Dalton, NE",311
"Dalton, NY",1
"Dalton, OH",1854
"Dalton, PA",1208
"Dalton, WI",1
"Dalton City, IL",520
"Daly City, CA",106472
"Dalzell, IL",673
"Dalzell, SC",1
"Damar, KS",130
"Damariscotta, ME",1
"Damascus, GA",236
"Damascus, MD",1
"Damascus, PA",1
"Damascus, VA",797
"Dameron, MD",1
"Dames Quarter, MD",1
"Dammeron Valley, UT",1
"Damon, TX",1
"Dana, IA",69
"Dana, IL",154
"Dana, IN",578
"Dana, KY",1
"Danburg, GA",1
"Danbury, CT",84992
"Danbury, IA",338
"Danbury, NC",186
"Danbury, NE",97
"Danbury, NH",1
"Danbury, TX",1780
"Danby, VT",1
"Dandridge, TN",2956
"Dane, WI",1125
"Danevang, TX",1
"Danforth, IL",570
"Danforth, ME",1
"Dania, FL",1
"Daniel, WY",1
"Daniels, MD",1
"Daniels, WV",1
"Danielson, CT",3963
"Danielsville, GA",585
"Danielsville, PA",1
"Dannebrog, NE",301
"Dansville, MI",555
"Dansville, NY",4510
"Dante, SD",86
"Dante, VA",1
"Danube, MN",461
"Danvers, IL",1126
"Danvers, MA",1
"Danvers, MN",94
"Danville, AL",1
"Danville, AR",2444
"Danville, CA",44631
"Danville, GA",220
"Danville, IA",926
"Danville, IL",31597
"Danville, IN",9676
"Danville, KS",35
"Danville, KY",16802
"Danville, ME",1
"Danville, NH",1
"Danville, OH",1010
"Danville, PA",4618
"Danville, VA",41898
"Danville, VT",1
"Danville, WA",1
"Danville, WV",640
"Daphne, AL",25913
"Darby, MT",763
"Dardanelle, AR",4601
"Darden, TN",1
"Darfork, KY",1
"Darfur, MN",106
"Darien, CT",1
"Darien, GA",1845
"Darien, WI",1608
"Darien Center, NY",1
"Darlington, ID",1
"Darlington, IN",842
"Darlington, MD",1
"Darlington, MO",120
"Darlington, PA",249
"Darlington, SC",6117
"Darlington, WI",2376
"Darnestown, MD",2
"Darragh, PA",1
"Darrington, WA",1385
"Darrow, LA",1
"Darwin, MN",351
"Dassel, MN",1425
"Dateland, AZ",1
"Datil, NM",1
"Datto, AR",93
"Dauphin, PA",795
"Dauphin Island, AL",1261
"Davella, KY",1
"Davenport, CA",1
"Davenport, FL",3982
"Davenport, IA",102612
"Davenport, ND",257
"Davenport, NE",286
"Davenport, NY",1
"Davenport, VA",1
"Davenport, WA",1688
"Davenport Center, NY",1
"Davey, NE",157
"David, KY",1
"Davidson, OK",296
"Davidsonville, MD",1
"Davidsville, PA",1
"Davie, FL",101871
"Davilla, TX",1
"Davin, WV",1
"Davis, CA",68111
"Davis, IL",639
"Davis, OK",2802
"Davis, SD",87
"Davis, WV",655
"Davis Creek, CA",1
"Davis Junction, IL",2249
"Davis Park, NY",1
"Davisboro, GA",1697
"Davison, MI",4929
"Davisport, KY",1
"Daviston, AL",209
"Davistown, PA",1
"Davisville, MO",1
"Davisville, WV",1
"Dawn, MO",1
"Dawson, AL",1
"Dawson, IA",132
"Dawson, IL",489
"Dawson, MN",1422
"Dawson, ND",61
"Dawson, NE",140
"Dawson, PA",356
"Dawson, TX",798
"Dawson, WV",1
"Dawson Springs, KY",2719
"Day, FL",1
"Day Heights, OH",1
"Day Rural, KY",1
"Dayhoit, KY",1
"Daykin, NE",161
"Days Creek, OR",1
"Daysville, KY",1
"Dayton, IA",802
"Dayton, ID",486
"Dayton, KY",5413
"Dayton, MD",1
"Dayton, MN",5387
"Dayton, MT",1
"Dayton, NJ",1
"Dayton, NV",1
"Dayton, NY",1
"Dayton, OH",140489
"Dayton, OR",2636
"Dayton, PA",524
"Dayton, TN",7248
"Dayton, TX",7734
"Dayton, WA",2427
"Dayton, WY",822
"Daytona Beach, FL",66645
"Dayville, CT",1
"Dayville, OR",145
"De Beque, CO",491
"De Berry, TX",1
"De Forest, WI",9690
"De Funiak Spring, FL",1
"De Graff, MN",128
"De Graff, OH",1266
"De Kalb, IL",1
"De Kalb, MO",219
"De Kalb, MS",1045
"De Kalb, TX",1656
"De Kalb Junction, NY",1
"De Lancey, NY",1
"De Land, IL",428
"De Leon, TX",2177
"De Leon Springs, FL",1
"De Pere, WI",24893
"De Peyster, NY",1
"De Queen, AR",6565
"De Ruyter, NY",1
